문장 번호,문장,포함된 단어
432,I ordered a medium size shirt.,size
433,I’m looking for sneakers.,sneakers
434,I’m looking for sunglasses.,sunglasses
435,The house is big.,big
436,This size is small for me.,small
437,Your arm is long.,long
438,Jason is short and long.,short
439,The box is too heavy.,heavy
440,There is a light on the wall.,light
441,It's a hard ball.,hard
442,This towel feels soft and very comfortable.,soft
443,It's an old car.,old
444,It's a new shop.,new
445,I need a fork.,fork
446,I need a knife.,knife
447,I need a spoon.,spoon
448,It's a cup that I broke.,cup
449,Can you get the dish for me?,dish
450,It's a lunch box. I have lunch.,lunch box
452,I have lunch.,lunch
453,My mom is cooking dinner.,dinner
454,I have snacks and I am eating.,snack
456,The teacher asks Is the glass half empty or half full?,half
457,Let's scoop up the ice cream with two spoons.,scoop
461,Don’t tear the letter; she is crying.,tear
462,The village is vacant and we're at park.,vacant
464,She is fleeing from the prison.,flee
467,The man is hairy and has curly hair.,hairy
468,He's scratching his head after bumping into a bumper car.,scratch
470,Don't tread on the trees.,tread
471,I like both of them.,both
475,The result did not satisfy me. Sit down and enjoy your meal have some more cake.,satisfy
484,The total comes to three thousand won.,thousand
485,The total amount came to one million won.,million
486,There are nine zeroes in a billion.,billion
487,I blush when I'm happy and look at your red lips.,blush
488,Kevin's cabin is cozy and fun.,cabin
489,He got some mustard on his mustache.,mustache
493,She collects stamps and marks the item.,stamp
495,Go ahead and walk this way.,ahead
496,I would like some cheesecake.,cheesecake
497,They look delicious and love their steak.,delicious
498,I would like some fruit.,fruit
499,I’m full after eating my lunch.,full
500,I would like some pie.,pie
502,This food is too spicy.,spicy
504,I would like some vegetables.,vegetable
506,Jim is very excited about it.,excited
507,I’m happy when I play outside.,happy
508,I was very nervous before the contest.,nervous
509,I was pleased at his birthday gift.,pleased
510,You look so sad when it's raining.,sad
511,"She is scared, don't be afraid.",scared
512,He is very surprised by the news.,surprised
513,Don’t upset yourself about it.,upset
514,"Mom looks so worried, don't worry.",worried
515,My cousins are my favorite relatives.,cousin
516,They have notebooks and pencils at school.,notebook
517,I’m on vacation and I like summer.,vacation
519,We go to the museum.,museum
521,Can you ride a horse that is brown?,horse
522,Don’t sit on the grass.,grass
525,I’m eating in the desert.,desert
528,"You win some, you lose some.",lose
529,I prefer chocolate ice cream over vanilla.,prefer
531,I can raise the letters.,raise
533,Mr. Smith is a doctor at the hospital.,doctor
534,He is drinking water from his bottle.,drink
535,I have a fever and need medicine.,fever
536,I have a headache.,headache
537,Ann is a doctor who gives medicine.,medicine
538,I’m resting on the bench.,rest
539,"Take care, stay home and sit down.",stay
540,I have a stomachache.,stomachache
541,I have a toothache and a stomachache.,toothache
542,You have the wrong number.,wrong
543,"Now, it's time for the gift exchange.",gift
545,The teacher asked how do you like the diamond pattern?,pattern
546,Look at the rainbow.,rainbow
547,I am responsible for cooking dinner tonight.,responsible
548,The result did not satisfy me. Sit down and enjoy your meal have some more cake.,satisfy
549,A ball has a round shape.,shape
550,Lisa has straight hair.,straight
551,I beg your pardon?,beg
552,I bumped into a bumper car.,bump
553,Touch your hand while we raise our hands.,hand
554,I began to shake in horror.,horror
555,The rock is rocking very hard.,rock
556,I sneaked into the dark room.,sneak
557,The rollercoaster is thrilling and very exciting.,thrilling
558,"The tights are too tight, stretch your body.",tight
559,I don't want you to kill this bug.,bug
561,This is a baby duck.,duck
564,I pinned the note on the wall.,pin
565,He is about to twist his legs.,twist
566,My hometown is a farming village.,village
567,He has a handicap of being blind.,handicap
568,She blew her nose into her handkerchief.,handkerchief
570,Ryan is very handsome.,handsome
574,"I hope so, it will probably be okay.",probably
575,I have an appointment to see my doctor.,appointment
576,I sneaked into the dark room.,dark
577,Playing in the forest is fun.,forest
578,"When you laugh, your brain works better.",laugh
581,I promise I’ll come back after recess.,promise
582,Look at my shadow on the ground.,shadow
584,It's hot in the afternoon.,afternoon
585,It’s cool in the evening afternoons.,evening
586,It's cold at night and sunny in morning.,night
587,Time is gold when time flies fast.,time
589,I’m leaving now and see you soon.,now
593,Today is Monday.,Monday
596,My birthday is next Thursday.,Thursday
599,"Yesterday was Sunday, today is Monday, tomorrow is Tuesday.",Sunday
600,"Yesterday was Sunday, today is Monday.",day
601,A week has seven days.,week
602,We enjoy leisure activities on weekends.,weekend
603,My finger is bleeding and my neck hurts.,bleed
604,Jim is very excited about it.,excited
607,I have a pet and I’m patting it.,pet
608,I was pleased at his birthday gift.,pleased
609,You should take your dog to the vet.,vet
610,"Mom looks so worried, don't worry.",worried
611,"She's sleepy, it's time to sleep.",sleepy
612,I’m counting numbers on my phone.,number
614,I can solve this very easy math problem.,solve
615,I’ll explain the rules of this game.,explain
617,The problem is simple but not easy. I have to do my homework and open the window.,simple
618,He has a talent for singing songs.,talent
620,I’m at home playing video games.,at
621,The problem is simple but not easy.,but
622,This present is for you.,for
623,We are from India.,from
625,Let's write a story together.,or
627,I go to school every morning.,to
629,My uncle is a pilot.,pilot
630,I'll see you soon!,soon
631,We can travel by spaceship when we grow up.,spaceship
632,We need fresh air outside today.,air
635,My brother's birthday is in April.,April
636,The earth is beautiful and getting warmer.,earth
637,A judge is in court playing badminton.,court
638,Let's exchange bags at the post office.,exchange
639,Let's gather in the classroom room.,gather
640,She is knitting my soft sweater.,knit
641,We navigate with a navigation system.,navigate
642,I scanned the boy.,scan
644,Lisa has straight hair.,straight
645,"Yesterday was Sunday, today is Monday.",day
647,Don't swim in deep water.,deep
648,Let's sing a song together.,sing
649,"Give me another spoon, please.",another
650,We watch a musical and like singing.,musical
651,Julia is a kind actress.,actress
652,"I can help you now. 

No problem, welcome to my house.",welcome
655,I’m leading my class and turning right.,lead
656,The lift is lifting us upstairs.,lift
657,The service is quick and fast.,quick
659,I wear a medium-sized black suit.,suit
660,Could you wrap this please.,wrap
663,It's a common mistake to stand up suddenly.,common
664,Be careful! Falling rocks are very dangerous.,danger
666,A close relative lives in Namwon.,relative
667,I respect my mother very much.,respect
669,This is my home address: 123 Main Street.,address
670,How about joining the school band?,band
671,Tommy is a member of his baseball club.,club
672,Both students got high grades on the test.,grade
677,How do you spell your name on the blackboard.,spell
678,I’m a student and I look happy.,student
679,The boy is my little brother.,brother
680,My cousins are my favorite relatives.,cousin
682,A nephew is your brother's son.,nephew
684,A close relative lives in Namwon.,relative
685,The girl is my sister.,sister
688,I dream about toys every night.,dream
691,We all learn by doing things.,learn
692,I will be a teacher in the future.,teach
694,Look out! I think it's a good idea.,think
695,"I'm waiting for the customer, it's long.",wait
696,"I can help you now. 

No problem, welcome to my house.",welcome
697,There is a toilet in the bathroom.,bathroom
698,I’m bored and like playing video games.,bored
699,That is his camera.,camera
700,Jim is very excited about it.,excited
701,I feel happy today and my head hurts.,feel
702,I think the picture is funny.,funny
703,This book is very interesting.,interesting
705,This towel feels soft; I'm using it.,towel
706,You may use my pen and computer.,use
707,He's from Brazil and loves playing soccer.,Brazil
709,He is from China and lives there.,China
711,We are from India.,from
712,We are from India.,India
713,She is from Japan.,Japan
716,"Excuse me, where is the bank?",where
717,I want an apple.,apple
718,I like bananas more than apples.,banana
719,I like grapes and I also like juice.,grapes
720,It is a kiwi I have.,kiwi
721,I like juice and that is a lemon.,lemon
722,I would like some watermelon.,melon
723,I have eight oranges and this is orange.,orange
724,I like juice and fresh peaches.,peach
725,That is a pear.,pear
728,I have two tickets and I'm counting numbers.,two
730,I have four cats and I know math facts.,four
731,"Five minus one is four, it's five ten now.",five
732,Think of a number and add six.,six
734,You have eight oranges.,eight
736,It's five ten now and math is easy.,ten
737,They are artists who become famous singers.,artist
738,Sue is an astronaut and I am too.,astronaut
739,I will be a teacher in the future.,future
740,She is a nurse and I want to be one.,nurse
741,I want to be a great pianist.,pianist
742,My uncle is a pilot.,pilot
743,He is a great scientist and I like science.,scientist
744,I will be a teacher in the future.,teach
745,I want to travel around the world.,travel
746,Do you want to be a writer?,writer
748,I’m at home playing video games.,at
749,This present is for you.,for
751,I go to school every morning.,to
757,There is a lot of delicious bread in this bakery.,bakery
758,It's behind the box.,behind
760,That ball is far from me.,far
761,The fire station is big and red.,fire station
762,It's in front of the box.,in front of
764,It's next to the plate.,next to
765,There are many seats in this theater.,theater
766,She is going upstairs with the books.,upstairs
768,The woman is my mom and she found my key.,woman
769,They're beautiful and so are you.,beautiful
770,I feel happy today and my head hurts.,feel
771,She should walk up this dark street.,street
772,It's my hat.,hat
773,They are my clothes at the store.,clothes
775,"Give me another spoon, please.",another
776,I’ll show you an example of a short sentence.,example
777,Time is gold when I look at rainbows.,gold
778,Five minus one is four.,minus
779,Click “cancel” to return to the previous page.,page
783,The world has become a global village.,world
785,The library charges adults a membership fee.,adult
787,My teacher is very busy today.,busy
789,I won first prize in the contest.,contest
790,You can’t miss it when they arrive.,miss
791,I’m good at passing a ball.,pass
794,Bill is an honest boy who pays bills.,bill
796,There is a clock on the table.,clock
797,The car is inside the garage.,garage
798,They produce apple juice at their factory.,produce
800,He taught us how to trade.,trade
801,Sue is an astronaut and I am too.,astronaut
802,Jenny is a baker and makes delicious bread.,baker
803,This dentist is my uncle.,dentist
805,That farmer is my grandpa.,farmer
806,Bill is a fashion designer and artist.,fashion designer
807,Lisa is a hairdresser with straight hair.,hairdresser
809,I want to be a great pianist.,pianist
810,I’m a reporter.,reporter
811,We arranged the oranges to line up.,arrange
812,My brothers bother me when they yell.,bother
813,It's a broad road and it's long.,broad
814,I’m building a building.,build
815,These slippers are slippery.,slippery
817,Sweaters make me sweat on rainy days.,sweat
819,I heard beats on the drum while playing.,beat
823,I like telling jokes.,joke
827,The library charges adults a membership fee.,adult
830,Many teenagers experience fast growth during puberty.,growth
831,I’ve seen this movie once.,once
832,Many teenagers experience fast growth during puberty.,teenager
837,May I change my money at the counter?,change
838,Don’t compare yourself with others; they’re different.,compare
840,The price for adults is twenty dollars.,price
841,Good health is better than great wealth.,wealth
843,Let's visit the museum.,visit
844,Highlight the word on the blackboard carefully.,word
845,How do you spell your name on the blackboard.,spell
846,They are in the classroom at school.,classroom
850,We are from India.,India
851,We need fresh air outside today.,air
852,The earth is beautiful and getting warmer.,earth
853,My grandpa has many hens on his farm.,hen
854,There is a hill in the background.,hill
855,There's an iguana on the stone.,iguana
856,This leaf is pretty on the tree.,leaf
857,It's rainy outside and I'm getting wet.,rain
858,We have a lot of snow in winter.,snow
859,Don’t throw the stone at the iguana.,stone
860,The wind is coming from the north.,wind
863,I get up early in the morning.,early
866,I like science very much and want to be a scientist.,science
867,I have very good sight.,sight
869,His weight is double hers.,double
871,The teacher asks Is the glass half empty or half full?,half
872,The box is too heavy.,heavy
873,The total amount came to one million won.,million
874,I’m counting numbers on my phone.,number
876,I ordered a medium size shirt.,size
877,Touch your arm because it's very long.,arm
879,I’m a cook and I'm cooking dinner.,cook
881,I’m counting numbers and adding six.,count
882,I like bread and I want some.,bread
883,We sell steak and other types of meat.,meat
885,I was very anxious about the test result.,anxious
887,I was very nervous before the contest.,nervous
889,Please select only one person from the group.,person
890,"I’m not joking, I’m seriously sick.",serious
891,The woman is my mom and she found my key.,woman
892,"Don’t worry, be happy!",worry
893,Everyone was against me and stood up.,against
898,I bought more apples.,more
902,This is Jenny's bell.,bell
903,Bring the brush.,brush
904,That is his camera.,camera
905,This is my fan.,fan
906,"It's my hat, it's hot outside today.",it
911,It's a small airport near the bus stop.,airport
912,It's a big apartment across from my house.,apartment
913,The bridge is long and very strong.,bridge
914,I go to the church to pray.,church
915,The city is big and has many buildings.,city
916,I’m at home watching TV tonight.,home
917,They are working in the office.,office
919,It's an old road that is very dark.,road
920,It’s a new shop where we buy clothes.,shop
921,The alarm clock alarmed me very early.,alarm
923,This candle is cheap and has a pretty vase.,candle
924,The paint is faint because he's blind.,faint
927,There are a pile of files on the table.,pile
930,Let's play a board game.,game
931,We like hockey and use sticks.,hockey
932,We have a quiz tomorrow.,quiz
935,I’ll show you an example of different kinds.,show
936,It's a true story and really funny.,story
937,I have two tickets and I’m going to the concert hall.,ticket
938,Let's go to the toy shop.,toy
940,You should not break the glasses.,break
942,I like telling jokes.,joke
944,"You win some, you lose some.",lose
945,We watch a musical and like singing.,musical
946,I like reading poems about beautiful flowers.,poem
948,"You win some, you lose some.",win
949,You can ask the questions.,ask
950,I’m building a building.,build
951,Let's go to the market and buy apples.,buy
953,I have lunch.,have
954,I can’t hear your voice.,hear
955,I need your help.,help
957,I understand how you feel.,understand
958,I want a key and cookies.,want
959,I like camping and will go.,camping
960,I’m going to the concert hall.,concert hall
961,His hobby is fishing and he loves it.,fishing
962,Let's have a party.,have a party
963,I like hiking on the mountain.,hiking
964,My friend's hobby is drawing cartoons.,hobby
966,She is picking the plant that grows flowers.,plant
967,I like swimming and going to the sea.,swimming
968,I have two tickets and I’m going to the concert hall.,ticket
969,She delivers mail to people at the post office.,deliver
970,My bowl is empty.,empty
971,"That's enough, I'm full and have money.",enough
972,He has to finish the race first.,finish
974,It's about a polite man who is handsome.,polite
975,The polite man apologized after being rude.,rude
977,I’m carrying some cans.,carry
979,I’m fine. Thank you.,fine
981,I go to the park.,park
983,We should protect the environment.,protect
984,I'll throw this into the trash can.,trash
985,I get up early in the morning.,get up
986,I have breakfast and we had lunch.,have breakfast
987,I go to school every day.,go to school
988,I have lunch.,have lunch
990,I have dinner.,have dinner
992,I usually go to bed at night.,go to bed
993,I get up early in the morning.,early
994,I get up late and hurry to school.,late
995,She usually goes to bed at night.,bed
996,The boy destroyed my blue chair.,chair
997,Can you use a new computer?,computer
998,The desk is white and under the table.,desk
999,The lamp is pink and bright outside.,lamp
1000,This is my yellow radio.,radio
1001,The sofa is black.,sofa
1002,The table is dirty and has a ball.,table
1003,The telephone rang at that moment.,telephone
1004,They watch television for about one hour.,television
1005,"Hello, it's my key and what's your hobby?",my
1007,This pencil case is his pen.,his
1009,They love their cat and are friends.,their
1010,Those are our cookies at the playground.,our
1011,Give me the pen.,pen
1012,These are their pencils.,pencil
1013,It's her eraser and I have chalk.,eraser
1014,It's his crayon.,crayon
1015,I beg your pardon?,beg
1018,Music is a tool to express emotions.,emotion
1019,He failed at first but succeeded later.,fail
1020,I was very nervous before the contest.,nervous
1021,I’m sure you’ll succeed when you try.,succeed
1022,Don’t upset yourself about it.,upset
1023,Can I borrow your pencil?,borrow
1025,It's time to sleep at 10 every night.,sleep
1026,It's wet today because of the rain.,wet
1028,I get up early in the morning.,early
1029,My grandpa is a farmer.,farm
1030,This present is for you.,present
1033,I like both of them.,both
1036,I bought more apples.,more
1037,I have nothing but a joke.,nothing
1040,My sister is very cute.,very
1041,We are dancers and she can dance.,dance
1042,I can jump over the wall.,jump
1043,He can pull the car.,pull
1044,Look! He can push the car.,push
1045,Look! I can run.,run
1046,Let's sing a song together.,sing
1047,He can't skate because he's spinning.,skate
1048,I like skiing and we will go.,ski
1049,I like swimming and I can’t swim.,swim
1050,I can walk up this street.,walk
1051,My birthday is in January.,birthday
1052,Here is my card on the fridge.,card
1053,Let's play the drum and have fun.,drum
1054,"Now, it's time for the gift exchange.",gift
1055,Let's play the guitar with my uncle.,guitar
1056,Let's have a party at my birthday.,party
1057,Let's play the piano every week.,piano
1058,Let's play the recorder every day.,recorder
1059,Let's listen to the song.,song
1060,Let's play the violin at music class.,violin
1062,The girl is my sister.,sister
1063,The boy asked How do you spell your name?,name
1064,I’ll show you an example of different kinds.,show
1065,It's a true story and really funny.,story
1067,Don't be afraid of getting hurt.,afraid
1068,Do you want to be a writer?,writer
1069,I like frogs and cats have lips.,frog
1070,I like giraffes and elephants too.,giraffe
1071,I like kangaroos.,kangaroo
1072,I like lions more than zebras.,lion
1073,It's a mouse on my new gray computer.,mouse
1074,They see the rabbits.,rabbit
1075,I don’t like spiders.,spider
1076,The turtle is slow downstairs.,turtle
1077,I have two dogs and it's a wolf.,wolf
1078,I like zebras and other animals too.,zebra
1079,They are my clothes at the store.,clothes
1080,"It's your coat, she says firmly.",coat
1081,It's my jacket.,jacket
1082,I’m looking for her jeans.,jeans
1083,We are wearing her pants and his jeans.,pants
1084,Go put on your clean shirt.,shirt
1085,I have a pair of pretty shoes.,shoes
1086,This is my skirt.,skirt
1087,She is sewing my clean socks.,socks
1088,She is knitting my soft sweater.,sweater
1090,His arms are strong and very brave.,strong
1091,I will be a teacher in the future.,future
1092,"The past is important, but the future matters.",past
1093,The army defended our enemy.,defend
1095,He failed at first but succeeded later.,fail
1096,I’m sure you’ll succeed when you try.,succeed
1097,Mr. Watson is a kind gentleman.,gentleman
1099,I like him because he is nice.,him
1100,The kid is cute.,kid
1101,She is a good lady.,lady
1102,"Besides me, no one knows my secret.",me
1103,Mr. Smith is a doctor.,Mr.
1104,Mrs. Snow is busy today helping patients.,Mrs.
1108,The boring movie ended finally.,end
1113,They are guarding the starting line of the race.,start
1114,Hockey players use this stick to write on the blackboard.,stick
1118,The car is white.,white
