문장 번호,문장,포함된 단어
531,"Squares, circles, and triangles are all shapes.",shape
532,Time flies like an arrow while I shoot.,arrow
536,He is about to twist his legs.,twist
537,Look at my shadow on the ground.,shadow
538,I can stop the bleeding by pressing it gently.,bleed
539,This candle is cheap and it's your balloon.,candle
541,A bag is by the pink lamp.,lamp
542,Here is my card.,card
543,Hockey players use this stick on the board.,stick
545,The police disarmed him of his gun.,disarm
546,Here is a pencil case belonging to Jack.,case
547,There is a mirror on the wall.,mirror
549,Let's switch the switches and turn right.,switch
550,I found a new method to train my team.,method
551,Come inside my house and use restroom.,inside
553,The sink is new and full of dishes.,sink
554,They drained the water from the pool.,drain
555,A pig is digging in the garden.,dig
558,What a surprise! Is my grandma coming.,surprise
560,The news surprised me very much.,surprised
561,There is a toilet in the bathroom.,toilet
563,There is a toilet in the bathroom.,bathroom
564,The washroom is clean and has toilets.,washroom
565,My cat is in the bathtub.,bathtub
569,"I’m sorry, but I have to cancel the order.",cancel
572,They are my new clothes at home.,clothes
573,My dad's blue shorts are his jeans.,shorts
574,These are his jeans.,jeans
575,She blew her nose into her handkerchief.,handkerchief
576,"This towel feels soft, go and get one.",towel
577,They are her pants.,pants
578,They are my clothes.,cloth
579,Your new dress fits very well now.,dress
580,The pocket is small in my bag.,pocket
581,I need some scissors to tie this ribbon.,ribbon
582,The zipper is long on my bag.,zipper
585,"Could you wrap this, please?",wrap
587,It is made from natural materials.,material
589,I want spaghetti.,spaghetti
590,There are stains on the brown bowl.,stain
591,Your gloves are big.,gloves
592,His pajamas are small and her pants.,pajamas
594,The pencils are very cheap this year.,cheap
595,The teddy bear is too expensive.,expensive
596,The price of the watch is $50.,price
600,Mr. Snow is free today and I'm happy.,free
601,I can’t see anything without my glasses.,glasses
602,I’m looking for sunglasses.,sunglasses
603,Do you need a glass?,glass
606,Good health is better than wealth always.,wealth
609,I should pay these bills this month.,pay
613,Jenny needs some coins from her piggy bank.,coin
615,The world has become a global village.,global
618,The TV reporter did interviews with the movie star.,interview
620,They did a phone survey of TV programs.,survey
621,We have a quiz tomorrow.,quiz
622,I have some questions about my homework.,question
623,I can raise the letters and stand up.,raise
626,The lift is lifting us upstairs.,lift
635,I sometimes play chess and computer games.,sometimes
641,She's almost always late when she forgets.,always
642,I can hardly believe it's my new bike.,hardly
643,I like to buy vegetables every day.,vegetable
644,"It's a pumpkin, and it looks very orange.",pumpkin
645,Do you want carrots after eating apples?,carrot
646,I don’t like potatoes and French fries.,potato
647,I don’t like tomatoes.,tomato
648,Put the onions in the pot.,onion
649,This leaf is pretty.,leaf
651,Here is a pencil case that belongs to him.,pencil case
652,You may use my pen.,pen
653,It's your pencil.,pencil
654,It's his crayon.,crayon
655,I have chalk on the blackboard.,chalk
656,They have new notebooks.,notebook
657,They cut the paper.,paper
659,It's her eraser.,eraser
660,I go to school every day.,school
667,I go to the church to pray.,church
668,I go to school after five.,go to school
671,It’s my bag.,bag
673,I packed the stuff into my bag.,pack
674,Let's listen to the song while touching our ears.,listen
676,I can't hear your voice.,hear
677,I’m building a small building.,building
678,I’m building a building.,build
680,The sheep looks cute as it grazes.,sheep
681,Look at the lambs.,lamb
683,I have breakfast and I have dinner.,breakfast
684,I have lunch.,lunch
685,I have dinner at home.,dinner
686,I have snacks.,snack
687,I get up early in the morning when it’s sunny.,morning
689,It's cool in the evening when it's dark.,evening
690,It's time to sleep when it's cold at night.,night
691,"I have breakfast, lunch, and dinner.",have breakfast
692,I have lunch.,have lunch
693,I have dinner and we will eat here.,have dinner
694,I'm hungry and food is good for health.,food
697,Can you get the dish for me?,dish
698,The alarm clock alarmed me at three o'clock.,alarm
699,I don’t break the bricks.,break
700,The table is dirty and has a ball.,table
702,Let's go on a picnic.,picnic
703,I like salad and I would like fruit.,salad
704,"They are guarding the start, he starts running.",start
708,I often stay up late.,stay up
712,Check your work before hanging it up.,hang
713,Please sweep up the sweets.,sweets
714,"I don’t like sugar, so I sweep up sweets.",sugar
715,I enjoy eating ice cream for dessert.,dessert
716,Mom gives me cheesecake.,cheesecake
717,You like cake and mom gives you some.,cake
718,I want cheese and some cheesecake too.,cheese
719,I want candy and I love chocolate.,candy
720,I love the taste of chocolate ice cream.,chocolate
721,I have a toothache and I want gum.,gum
722,I need another spoon.,spoon
723,Here is some glue on my desk.,glue
724,There is a crack in the cracker.,crack
726,I would like some pie.,pie
728,The chef mixed spaghetti sauce and meatballs.,sauce
729,They like French fries.,French fries
730,I want a hot dog.,hot dog
731,I want milk carefully.,milk
732,The child is biting my cookies.,cookie
733,I want pizza divided into eight pieces.,pizza
734,Do you want cream on your ice cream?,cream
735,Do you want doughnuts?,doughnut
737,The chicken is so yummy today.,chicken
738,There's a big hen on the roof.,hen
739,I have a bird on my tree.,bird
740,I have a baby duck and some geese nearby.,duck
741,I like eggs and count two.,egg
742,I have a big bat and want a mouse.,bat
743,There is something fishy about the fish.,fish
744,A fishing contest is interesting because he loves fishing.,fishing
745,Let's go fishing on the island.,go fishing
746,This math problem is very easy.,easy
747,Cooking spaghetti is simple and fun.,simple
748,Our last test was very difficult.,difficult
758,Many people are waving their hands at my friends.,people
761,Let's have a party.,party
762,Let's have a party.,have a party
763,We will celebrate Piggy's birthday together.,celebrate
765,It smells good when touching skunk noses.,smell
766,The skunk stinks; it smells good outside.,stink
769,My head hurts because I fell down.,head
772,Touch your sore throat gently.,throat
773,My neck hurts.,neck
774,I have a bad cold.,bad cold
775,I have a sore throat.,sore throat
776,It's cold because it's winter outside.,cold
777,Touch your nose.,nose
778,It’s on the plate.,plate
779,The girl wrinkled her eyebrows and looked pale.,wrinkle
780,Touch your ear because your father is deaf.,ear
782,I'm resting on the bench Go back slowly please.,back
783,I poked it with a fork and touched my eye.,poke
784,I have a fever and I’m sick.,fever
785,I have a headache.,headache
787,Don't swim in deep water.,deep
788,This is his bell.,bell
789,I have a fan called this is my fan.,fan
792,I have a runny nose and a cough.,cough
795,Her knit top looks neat.,top
796,The bony man looks sad and is nice.,bony
797,She is wiping the window and filling it.,window
798,I wash my face.,face
799,I can bend the rubber band.,bend
801,Stretch your body and touch your arm.,body
803,The bear has a big chest.,chest
804,Touch your cheek and touch your chin.,chin
808,"The five senses are touch, smell, taste, sight, and hearing.",sense
812,It's cool in autumn when leaves fall.,fall
813,Tony’s birthday is in April.,April
815,There are twelve months in a year.,month
816,We have a lot of snow in winter.,snow
817,School begins in March when it's spring.,spring
818,I like summer vacation because it's warm.,summer
819,I read many books in autumn.,autumn
820,I hate winter because it's cold outside.,winter
822,The teacher asks What's your favorite season?,season
823,My birthday is in January and December.,January
825,School begins in March usually around late March.,March
826,Children's Day is in May.,May
827,His birthday is in June.,June
828,Her birthday is in July.,July
829,Tommy's birthday is in August.,August
830,Jina’s birthday is on September first.,September
831,Halloween is in October every year.,October
832,Thanksgiving day is in November.,November
833,Christmas day is in December and January.,December
835,He marked her birthday on the calendar.,calendar
839,We’re excited about our fun field trip.,excited
840,I have a pair of sneakers.,pair
845,Two friends are both very foolish together.,fool
846,He is blind and foolish.,foolish
849,I’m eating because I’m hungry.,hungry
850,I’m thirsty. Give me some juice.,thirsty
851,This book is very interesting.,interesting
867,"I was rude to my mom, I'm sorry.",rude
875,We like sports and play hockey.,hockey
876,We like sports and I play soccer.,sport
877,Let's play baseball after school today.,baseball
878,The ball is black and hard near me.,ball
879,Let's play badminton.,badminton
880,We are playing basketball on our team.,basketball
881,Let's play golf on the green.,golf
883,I’m on the soccer team.,soccer
884,We are playing tennis with him.,tennis
885,Let's play volleyball.,volleyball
886,Do you need a new empty bowl?,bowl
887,The board is big and I play chess.,board
888,You have to play outside every day.,play
889,She is swinging the swing at the playground.,swing
892,He won the boxing match.,match
893,It's a cup that I broke.,cup
895,He can't skate because he's on ice.,skate
896,I train my team.,team
897,I have a brown basket covered with a wet cloth.,basket
898,I sometimes play chess on Fridays.,chess
901,We watch a musical.,musical
902,She is a great pianist and plays piano.,pianist
903,Let's play the drum.,drum
904,Let's play the guitar.,guitar
905,Let's play the piano every week.,piano
906,My uncle is a great violinist.,violin
908,She is a very popular singer.,singer
910,He has a talent for music.,talent
911,The rock is rocking really hard outside.,rock
912,Let's sing a song together.,sing
915,This is my yellow radio they listen.,radio
916,Let's play the recorder.,recorder
917,Let's listen to the song.,song
918,James is a handsome prince who sings.,prince
919,Get off the stage immediately.,stage
920,I have an album.,album
921,I want jam and I like juice.,jam
924,The bus is big on It's a broad road.,broad
927,She perceived that she placed first.,first
928,A pet shop is on the ninth floor.,ninth
931,Today is my twelfth birthday and I'm excited.,twelfth
933,Twenty plus twenty is forty.,twenty
934,Thirty plus thirty is sixty.,thirty
935,Forty plus forty is eighty.,forty
936,Forty plus fifty is ninety.,fifty
937,Thirty plus thirty is sixty and forty plus fifty is ninety.,sixty
938,Thirty plus forty is seventy.,seventy
939,Forty plus forty is eighty.,eighty
940,Forty plus fifty is ninety.,ninety
944,It's an old car parked on the road.,old
946,There are nine zeroes in a billion.,billion
947,I have one cow and I’m counting numbers.,one
948,I have three cows and two more.,two
949,I have three pigs.,three
951,The math problems all show it's five.,five
952,Think of a number and add six.,six
956,"It’s five ten now, and math is easy.",ten
957,The library has a program for adults.,adult
961,The youth of today lack good manners.,youth
962,His weight is double hers.,double
965,I’m eleven years old and I love my lucky number seven.,eleven
966,You are twelve years old today.,twelve
968,She is fourteen years old.,fourteen
970,My sister is sixteen years old.,sixteen
973,Kevin is nineteen years old.,nineteen
975,I’ve recorded it on the recorder.,record
976,The teacher repeated the question and sat down.,repeat
980,You have the wrong number.,number
981,I can solve this math problem.,math
983,Don’t move until I tell you.,tell
985,It's about two fools and old cell phones.,about
989,Thank you for the present I have a watch.,present
991,"I know the answer, so I stand up.",answer
992,You can ask the questions and I will answer them.,ask
994,Let's make a plan for our vacation.,plan
995,My friendship will last forever.,will
996,Touch your hand while looking at the button.,button
997,He can’t contact anyone because he’s sick.,contact
1002,It’s a new shop next door.,new
1007,Go straight one block.,straight
1008,I can solve this math problem.,solve
1009,I’m at home tomorrow afternoon.,at
1010,This present is for you.,for
1013,I’m leading my class and using your pencil.,lead
1017,The math problems show twenty plus thirty is fifty.,plus
1018,Zero is my favorite number because it's zero.,zero
1033,Don't throw the stone at the iguana.,stone
1034,Spiderman can't fly because he's a superhero.,man
1035,"I’m not joking, I’m completely serious.",serious
1038,There are a pile of files on my desk.,pile
1039,My birthday is next Thursday.,birthday
1041,Look at this graph and draw a circle.,graph
1045,Go straight one block and write on blackboard.,block
1050,"He loaded the handcart, it's too heavy.",load
1051,Don’t miss this chance to meet the guest.,chance
1053,Can you join us to make groups?,join
1054,I want a key.,key
1062,Somebody is knocking on the door.,knock
1063,That tree is low and it's light.,low
1068,I like camping and my family goes.,camping
1070,I like hiking on the mountain.,hiking
1071,Let's go camping during summer vacation.,go camping
1072,Let's go hiking on the mountain.,go hiking
1073,He is on top of the mountain.,mountain
1074,They went on a tour of the city.,tour
1075,I will go jogging with Brandy.,jogging
1076,Look! I can run.,run
1077,I’m going to run a marathon.,run a marathon
1079,I can walk up this street.,walk
1081,The manager is in charge of the store.,store
1082,Jenny is baking delicious bread at her bakery.,bakery
1084,Let's go to the restaurant on your right.,restaurant
1087,We're in the bookstore on Friday.,bookstore
1088,We are collecting money for charity today.,collect
1091,The guide is guiding us through wilderness.,guide
1094,I know an interesting website to explore.,website
1096,Let's go to the clothing store.,clothing store
1097,Let's go to the market and buy meat.,market
1098,We go to the bank.,bank
1099,The gym is closed this Sunday.,gym
1100,I need a spoon and a knife.,need
1101,I want milk.,want
1103,I prefer chocolate ice cream over vanilla.,prefer
1104,I beg your pardon? I want sandwiches.,beg
1106,I have a dog.,have
1111,We can recycle the empty bottles.,recycle
1113,I'll throw this into the trash can.,trash
1115,I don’t like corn and it's not soup.,corn
1116,I like bread and I want some.,bread
1119,I want sandwiches because I like bread.,sandwich
1120,Do you want some vegetable soup?,soup
1122,The curry is too salty for me.,salt
1123,Jenny is a baker and I like bread.,baker
1126,I want rice.,rice
1127,Cutting the watermelon in half is easy.,watermelon
1129,I like bananas.,banana
1130,I like grapes and I want strawberries.,grapes
1131,I like watermelon because it is fresh.,melon
1132,"It is a peach, and I would like some fruit.",peach
1133,That is a pear.,pear
1134,This is a strawberry flavor ice cream.,strawberry
1135,I'm sprinkling some seeds on it.,seed
1136,"I don’t like pepper, this is vanilla.",pepper
1137,I like apples more than bananas.,apple
1138,I have nine kiwis from Australia.,kiwi
1139,I like juice and that is a lemon.,lemon
1141,We see bees turning into butterflies slowly.,bee
1142,I have a pretty vase on a metal base.,vase
1143,I like juice and drink it.,juice
1144,I'm looking for boots that are my shoes.,boots
1145,I’m looking for sneakers.,sneakers
1147,Touch your arm because it's very long.,arm
1148,These are your shoes and my sneakers.,shoes
1149,Bring me a pair of clean socks.,socks
1151,My foot hurts and I have shoes.,foot
1152,"My knee hurts, my foot hurts too.",knee
1154,My toe hurts and I have shoes.,toe
1155,Touch your leg because your foot hurts.,leg
1157,I’m good at kicking a ball.,kick
1158,I bumped into a bumper car.,bump
1159,I sneaked into the dark room.,sneak
1162,There is a hill in the background.,hill
1164,I can jump over the wall.,jump
1165,Trace the trace he left behind carefully.,trace
1166,You like curry and this basketball is yours.,curry
1168,"It's your shirt, she is hanging it.",shirt
1169,It's my vest.,vest
1170,The black suit suits me perfectly.,suit
1171,"It's your coat, but it's my jacket.",coat
1172,It's my jacket.,jacket
1173,It's my sweater.,sweater
1174,Your scarf is long.,scarf
1175,You must wear your helmet when riding.,helmet
1177,The soft sweater covers very baby's body.,cover
1178,My hat is on my head now.,hat
1179,I like my school uniform.,uniform
1180,Your belt is short.,belt
1181,I'm shooting at the goal.,shoot
1183,I hit the ball and I'm shooting at the goal.,hit
1187,"If that way is east, then it's west.",west
1188,"If that way is east, then this way is west.",east
1192,The person should turn left then right.,left
1198,"Go along this way, it's not very long.",along
1202,I replied to his reply.,reply
1204,I’ll send you a text message.,message
1205,My uncle is a famous guitarist.,famous
1207,It's a common mistake when friends share food.,common
1208,The ring has the shape of a circle.,circle
1210,"Squares, circles, and triangles are all shapes on the blackboard.",triangle
1212,The ring has the shape of a circle.,ring
1213,We're going to the concert.,concert
1214,I’m going to the concert hall.,concert hall
1217,How about going to the festival tonight.,festival
1218,"He's tired, I'm tired, she's sleepy now.",tired
1219,You should get some rest because I feel tired.,rest
1221,I'm tired because she's sleepy.,sleepy
1222,"I feel tired, it's time to sleep.",sleep
1229,My knee hurts and my foot hurts.,hurt
1230,Don't tear the letter; she wiped her tears.,tear
1241,There is no life after death.,death
1242,She survived in the survival game.,survive
1243,My sister knows how to enjoy life.,life
1244,My brothers fight with each other every day.,fight
1250,I'm eating my favorite breakfast cereal happily.,eat
1252,It's time to feed my dog.,feed
1254,He is drinking coffee from a full glass.,drink
1256,Sit down and come inside my house.,do
1258,Let’s throw a ball.,throw
1260,I will catch the ball.,catch
1261,The skater is spinning while throwing a ball.,spin
1264,We are close friends.,friend
1267,I respect you very much and be quiet.,respect
1268,He is a very friendly person.,friendly
1269,I love my friends and family too.,love
1271,"You're kind, and so is your brother.",kind
1272,It takes an hour to get home.,hour
1276,I like purple.,purple
1277,That light is very dark outside.,dark
1278,This is an orange that looks green.,orange
1279,The car is It’s white.,white
1280,"This goat is black, it's not.",black
1281,My boots are blue and this color.,blue
1282,The horse is brown.,brown
1283,I like this red color.,color
1284,The plane is gray and brown.,gray
1285,My shorts are green and brown.,green
1287,I like this red car.,red
1288,The pen is yellow and also red.,yellow
1289,The teacher asked When is the race?,race
1290,Look at the rainbow.,rainbow
1292,"Time is gold, and it's green.",gold
1294,He works in the sales department.,sale
1297,Do you sell meat at the store?,sell
1298,I ordered them to line up.,order
1302,Jason is short but my sister is tall.,short
1304,That train is long and your arm.,long
1306,Lifting it is difficult when it's heavy.,heavy
1307,His weight is double hers; it's too heavy.,weight
1310,This towel feels soft.,soft
1312,The gentleman is gentle and kind always.,gentle
1313,It’s a lunch box with chocolates inside.,lunch box
1314,"I want a box, it's pink inside.",box
1315,We need to recycle this empty bottle.,bottle
1323,We elected John president of our class.,elect
1330,A judge is in court today.,court
1331,"I know an interesting website.

My source of writing is a language model.",source
1335,The announcer announced the news to everyone.,announce
1336,There is a flag on the desk.,flag
1343,The teacher asked if the glass is half full.,half
1348,What a terrible thing! It's a spoon.,thing
1349,I marked the item on my pair of shoes.,item
1351,"When you laugh, your brain works better.",laugh
1353,You have a cute smile.,smile
1355,The man is hairy.,hairy
1359,He got some mustard on his mustache.,mustache
1360,She has curly hair.,curly
1361,I have a new comb.,comb
1362,I have a red hairpin.,hairpin
1363,My brother met Jane and her husband.,husband
1366,I’m angry when Brian is being loud.,angry
1367,I feel happy today because we won the game.,happy
1371,This butter tastes bitter.,bitter
1377,You look so sad because it's a movie.,sad
1381,"The bun is burning, we must sit down.",burn
1386,The kids are poor because they're hungry.,poor
1389,Paul looks so nervous on the stage.,nervous
1390,She is scared of big spiders.,scared
1391,Mom looks worried about my midterm exam.,worried
1393,"Don't worry, I'll help you study.",worry
1394,I'm afraid of big spiders.,afraid
1400,I’m on vacation and I like summer.,vacation
1403,I go to the museum on Thursdays.,museum
1407,Let's watch the magic show.,show
1410,They have a pet dog.,pet
1412,My puppy takes my things to play.,puppy
1413,I have four cats.,cat
1414,I have a dog and need food.,dog
1416,I like giraffes and there’s an iguana on the stone.,iguana
1417,The kids see the white rabbit hopping.,rabbit
1418,It's a wolf.,wolf
1419,I want a robot.,robot
1420,Look I have a monkey.,monkey
1421,Look! I have three happy pigs.,pig
1423,Sit down next to the plate.,next to
1424,It's behind the box.,behind
1430,She is sewing the socks.,sew
1431,She is knitting the sweater.,knit
1432,I have a stomachache below my belly button.,stomachache
1433,"I have a toothache, go see a dentist.",toothache
1435,My stomach says it's time to eat.,stomach
1436,It's a common mistake to have the wrong number.,wrong
1438,I’m not sure that’s correct.,correct
1441,It's a common mistake to say sorry too often.,mistake
1444,You look like a detective anyway.,anyway
1446,You know her because we are friends.,know
1448,I’ll explain the rules of this game.,rule
1449,I don't mind if you kill this bug.,bug
1452,The problem is simple but not easy.,problem
1455,I am responsible for cooking dinner.,responsible
1458,"Since Mr. Jones is honest and diligent, he works hard every day.",diligent
1460,Touch your hand and touch your arm.,hand
1462,"My finger hurts, touch your hand.",finger
1463,He wrote something on my palm.,palm
1464,Touch your arm and then touch your leg.,touch
1465,My hometown is a farming village.,village
1466,My hometown is Seoul.,hometown
1467,My town is big.,town
1469,Let's visit the place where the park is.,place
1471,The city is big where I live.,city
1473,Many animals live in the forest.,forest
1474,Look at the tree that is low.,tree
1475,This desk is made of natural wood.,wood
1476,It’s three o’clock and there is a clock.,o’clock
1477,There is a clock on the table.,clock
1478,"Now, it's time for the gift exchange.",exchange
1482,I’ll send you a text message from my home address.,send
1483,Julia is a kind young actress.,actress
1484,Harry is the best actor.,actor
1485,I play the role of Pinocchio.,role
